iter	Passed	Remaining
425	2332	25041
426	2337	25032
427	2342	25028
428	2345	24996
429	2356	25040
430	2364	25069
431	2374	25105
432	2381	25115
433	2386	25105
434	2397	25164
435	2400	25132
436	2410	25173
437	2414	25148
438	2448	25434
439	2459	25490
440	2466	25494
441	2469	25465
442	2474	25453
443	2479	25446
444	2486	25453
445	2490	25431
446	2496	25425
447	2501	25413
448	2505	25397
449	2513	25414
450	2517	25387
451	2521	25366
452	2526	25354
453	2530	25338
454	2535	25331
455	2539	25309
456	2548	25332
457	2551	25302
458	2563	25363
459	2572	25391
460	2579	25394
461	2582	25371
462	2590	25380
463	2595	25373
464	2597	25334
465	2604	25343
466	2609	25330
467	2615	25325
468	2620	25318
469	2624	25295
470	2629	25287
471	2633	25265
472	2639	25261
473	2644	25255
474	2649	25236
475	2653	25222
476	2658	25207
477	2662	25183
478	2665	25160
479	2669	25138
480	2673	25121
481	2679	25111
482	2684	25106
483	2688	25080
484	2691	25053
485	2698	25062
486	2702	25048
487	2707	25033
488	2711	25012
489	2716	24999
490	2721	24989
491	2725	24970
492	2728	24947
493	2733	24936
494	2738	24919
495	2745	24933
496	2750	24920
497	2756	24921
498	2760	24903
499	2765	24886
500	2776	24930
501	2780	24914
502	2784	24898
503	2792	24908
504	2800	24925
505	2804	24910
506	2809	24894
507	2813	24874
508	2818	24864
509	2825	24879
510	2831	24871
511	2835	24853
512	2841	24853
513	2849	24868
514	2852	24845
515	2858	24841
516	2863	24828
517	2868	24816
518	2871	24794
519	2875	24769
520	2879	24750
521	2884	24745
522	2889	24732
523	2895	24732
524	2900	24719
525	2904	24708
526	2907	24680
527	2911	24658
528	2915	24640
529	2919	24620
530	2922	24596
531	2925	24572
532	2929	24549
533	2933	24534
534	2941	24546
535	2945	24527
536	2948	24507
537	2952	24491
538	2956	24469
539	2960	24449
540	2964	24432
541	2970	24436
542	2977	24439
543	2981	24418
544	2985	24407
545	2989	24390
546	2994	24378
547	2998	24362
548	3003	24349
549	3007	24330
550	3011	24319
551	3020	24336
552	3029	24364
553	3041	24412
554	3045	24395
555	3051	24386
556	3056	24383
557	3065	24402
558	3069	24383
559	3075	24385
560	3081	24378
561	3084	24359
562	3088	24340
563	3091	24317
564	3096	24307
565	3100	24291
566	3104	24275
567	3112	24284
568	3118	24285
569	3125	24294
570	3135	24323
571	3142	24325
572	3157	24397
573	3161	24377
574	3177	24452
575	3181	24437
576	3186	24425
577	3191	24415
578	3199	24433
579	3208	24448
580	3215	24457
581	3220	24443
582	3227	24454
583	3236	24471
584	3243	24481
585	3251	24491
586	3256	24482
587	3262	24479
588	3267	24472
589	3273	24469
590	3281	24482
591	3285	24460
592	3289	24449
593	3294	24438
594	3299	24426
595	3307	24440
596	3313	24435
597	3318	24430
598	3324	24423
599	3328	24409
600	3333	24401
601	3338	24392
602	3344	24385
603	3349	24380
604	3358	24397
605	3361	24376
606	3366	24362
607	3377	24399
608	3381	24380
609	3385	24363
610	3396	24399
611	3400	24382
612	3408	24395
613	3413	24382
614	3417	24368
615	3431	24423
616	3442	24456
617	3449	24459
618	3455	24453
619	3459	24440
620	3463	24420
621	3467	24406
622	3475	24417
623	3479	24402
624	3491	24437
625	3495	24426
626	3501	24420
627	3506	24413
628	3510	24395
629	3514	24377
630	3520	24378
631	3524	24355
632	3529	24350
633	3541	24385
634	3546	24378
635	3557	24408
636	3560	24389
637	3565	24376
638	3571	24377
639	3576	24363
640	3580	24348
641	3594	24397
642	3597	24377
643	3604	24379
644	3608	24361
645	3612	24345
646	3616	24333
647	3623	24332
648	3630	24342
649	3639	24356
650	3650	24384
651	3656	24381
652	3663	24389
653	3673	24412
654	3678	24403
655	3693	24456
656	3696	24434
657	3702	24433
658	3707	24423
659	3712	24410
660	3719	24413
661	3724	24403
662	3728	24391
663	3735	24396
664	3739	24379
665	3749	24400
666	3756	24403
667	3760	24384
668	3768	24395
669	3771	24376
670	3776	24363
671	3780	24347
672	3786	24345
673	3792	24339
674	3797	24328
675	3807	24354
676	3811	24341
677	3816	24329
678	3820	24313
679	3827	24313
680	3835	24325
681	3860	24442
682	3868	24452
683	3873	24440
684	3876	24418
685	3880	24401
686	3885	24394
687	3891	24390
688	3895	24370
689	3900	24362
690	3904	24346
691	3909	24336
692	3913	24324
693	3917	24304
694	3921	24293
695	3926	24278
696	3932	24278
697	3942	24298
698	3947	24290
699	3952	24279
700	3958	24273
701	3962	24259
702	3967	24251
703	3972	24238
704	3975	24219
705	3978	24199
706	3983	24187
707	3987	24170
708	3992	24164
709	4000	24174
710	4004	24157
711	4008	24142
712	4014	24137
713	4026	24168
714	4031	24161
715	4035	24146
716	4040	24133
717	4046	24134
718	4055	24149
719	4060	24138
720	4065	24129
721	4070	24120
722	4080	24141
723	4084	24122
724	4088	24107
725	4091	24086
726	4102	24114
727	4107	24101
728	4113	24098
729	4119	24095
730	4123	24083
731	4134	24104
732	4140	24100
733	4144	24086
734	4148	24070
735	4151	24052
736	4160	24062
737	4164	24051
738	4168	24033
739	4172	24019
740	4177	24012
741	4183	24008
742	4198	24054
743	4202	24039
744	4206	24022
745	4212	24020
746	4216	24007
747	4220	23990
748	4229	24006
749	4237	24013
750	4241	23999
751	4254	24030
752	4262	24042
753	4267	24029
754	4272	24023
755	4276	24008
756	4281	23999
757	4286	23989
758	4289	23970
759	4296	23971
760	4300	23952
761	4303	23935
762	4308	23924
763	4315	23927
764	4319	23910
765	4323	23896
766	4333	23917
767	4337	23902
768	4343	23895
769	4347	23884
770	4352	23872
771	4356	23861
772	4362	23856
773	4366	23839
774	4370	23824
775	4374	23809
776	4378	23797
777	4382	23785
778	4387	23771
779	4398	23795
780	4404	23792
781	4409	23782
782	4413	23771
783	4421	23774
784	4429	23781
785	4437	23791
786	4441	23776
787	4445	23763
788	4457	23788
789	4461	23777
790	4469	23783
791	4474	23774
792	4480	23770
793	4485	23762
794	4493	23767
795	4498	23758
796	4503	23747
797	4507	23737
798	4511	23723
799	4518	23724
800	4524	23718
801	4527	23699
802	4535	23705
803	4544	23717
804	4550	23712
805	4555	23706
806	4559	23690
807	4566	23690
808	4568	23669
809	4573	23657
810	4582	23668
811	4585	23649
812	4592	23651
813	4596	23639
814	4600	23623
815	4603	23606
816	4610	23606
817	4615	23595
818	4620	23588
819	4624	23574
820	4632	23581
821	4639	23579
822	4642	23562
823	4649	23565
824	4655	23561
825	4660	23549
826	4665	23541
827	4678	23572
828	4682	23560
829	4687	23552
830	4692	23542
831	4698	23538
832	4702	23523
833	4705	23504
834	4709	23488
835	4715	23484
836	4718	23469
837	4722	23456
838	4726	23440
839	4730	23426
840	4734	23411
841	4740	23408
842	4743	23391
843	4747	23377
844	4749	23353
845	4758	23363
846	4761	23347
847	4765	23333
848	4780	23373
849	4785	23363
850	4790	23353
851	4796	23353
852	4800	23336
853	4803	23322
854	4815	23346
855	4821	23340
856	4825	23328
857	4830	23319
858	4834	23306
859	4839	23296
860	4842	23280
861	4851	23287
862	4855	23276
863	4859	23263
864	4863	23247
865	4872	23258
866	4876	23248
867	4881	23235
868	4888	23236
869	4896	23244
870	4900	23233
871	4905	23220
872	4909	23207
873	4913	23196
874	4918	23185
875	4922	23173
876	4928	23171
877	4933	23160
878	4936	23145
879	4947	23163
880	4951	23152
881	4955	23139
882	4965	23150
883	4972	23150
884	4979	23153
885	4983	23141
886	4987	23127
887	4996	23136
888	5000	23125
889	5004	23109
890	5011	23110
891	5015	23100
892	5020	23090
893	5026	23088
894	5030	23073
895	5041	23091
896	5046	23084
897	5051	23074
898	5055	23059
899	5059	23047
900	5063	23035
901	5069	23032
902	5072	23016
903	5078	23009
904	5088	23026
905	5092	23013
906	5096	22996
907	5101	22992
908	5109	22995
909	5115	22992
910	5119	22979
911	5129	22993
912	5132	22977
913	5138	22969
914	5143	22962
915	5147	22948
916	5150	22934
917	5155	22922
918	5159	22909
919	5163	22897
920	5167	22885
921	5170	22869
922	5176	22865
923	5192	22903
924	5201	22913
925	5206	22905
926	5212	22900
927	5217	22895
928	5221	22881
929	5232	22899
930	5237	22889
931	5241	22879
932	5245	22865
933	5249	22854
934	5254	22842
935	5257	22827
936	5261	22814
937	5266	22804
938	5270	22793
939	5274	22779
940	5283	22788
941	5287	22776
942	5290	22761
943	5296	22756
944	5301	22746
945	5305	22737
946	5309	22721
947	5313	22713
948	5317	22700
949	5325	22702
950	5328	22687
951	5332	22675
952	5342	22688
953	5347	22679
954	5351	22668
955	5356	22658
956	5360	22644
957	5366	22640
958	5372	22638
959	5378	22636
960	5384	22632
961	5388	22619
962	5392	22607
963	5398	22600
964	5404	22596
965	5408	22584
966	5412	22573
967	5420	22579
968	5424	22564
969	5427	22550
970	5431	22535
971	5435	22523
972	5441	22522
973	5445	22510
974	5449	22497
975	5454	22490
976	5464	22501
977	5470	22498
978	5475	22487
979	5480	22480
980	5483	22464
981	5487	22454
982	5491	22439
983	5495	22428
984	5500	22420
985	5506	22415
986	5510	22404
987	5513	22389
988	5519	22386
989	5524	22376
990	5530	22372
991	5534	22361
992	5538	22348
993	5543	22343
994	5546	22326
995	5551	22315
996	5554	22302
997	5558	22290
998	5563	22280
999	5569	22279
1000	5574	22269
1001	5578	22257
1002	5588	22268
1003	5594	22267
1004	5599	22258
1005	5603	22246
1006	5607	22236
1007	5611	22222
1008	5614	22207
1009	5621	22207
1010	5625	22194
1011	5629	22182
1012	5633	22173
1013	5636	22157
1014	5640	22147
1015	5644	22134
1016	5648	22123
1017	5653	22114
1018	5663	22126
1019	5667	22116
1020	5672	22104
1021	5681	22114
1022	5684	22100
1023	5688	22086
1024	5695	22088
1025	5702	22085
1026	5709	22087
1027	5714	22077
1028	5717	22065
1029	5721	22053
1030	5726	22043
1031	5734	22047
1032	5738	22039
1033	5742	22026
1034	5746	22013
1035	5752	22011
1036	5757	22003
1037	5766	22011
1038	5770	22000
1039	5776	21994
1040	5780	21984
1041	5784	21973
1042	5789	21962
1043	5792	21948
1044	5804	21967
1045	5808	21955
1046	5818	21969
1047	5823	21960
1048	5827	21948
1049	5833	21945
1050	5838	21937
1051	5842	21926
1052	5847	21917
1053	5850	21903
1054	5857	21901
1055	5862	21896
1056	5866	21884
1057	5877	21898
1058	5881	21887
1059	5889	21890
1060	5892	21877
1061	5898	21871
1062	5901	21857
1063	5907	21851
1064	5911	21840
1065	5914	21828
1066	5921	21825
1067	5925	21814
1068	5934	21824
1069	5938	21811
1070	5947	21819
1071	5953	21813
1072	5957	21804
1073	5966	21810
1074	5971	21803
1075	5977	21797
1076	5981	21786
1077	5985	21775
1078	5988	21762
1079	5992	21748
1080	5998	21747
1081	6007	21754
1082	6014	21751
1083	6016	21736
1084	6021	21728
1085	6026	21720
1086	6031	21712
1087	6035	21699
1088	6038	21687
1089	6046	21689
1090	6050	21678
1091	6055	21672
1092	6060	21665
1093	6064	21651
1094	6068	21640
