iter	RMSE
163	46769.65924
164	46760.12392
165	46749.37238
166	46729.73097
167	46715.06305
168	46707.63248
169	46688.51626
170	46676.84587
171	46656.75685
172	46647.61911
173	46638.46321
174	46637.97705
175	46629.6385
176	46615.21631
177	46605.70588
178	46596.92929
179	46588.80664
180	46578.14513
181	46553.99398
182	46532.15556
183	46531.5591
184	46518.44309
185	46503.90557
186	46502.0933
187	46491.54623
188	46486.16
189	46474.97426
190	46456.35883
191	46455.37066
192	46454.98437
193	46446.08372
194	46441.36814
195	46427.4464
196	46427.20751
197	46424.90784
198	46424.23176
199	46424.08915
200	46412.84137
201	46394.92665
202	46380.71078
203	46370.78002
204	46370.68484
205	46356.75531
206	46342.82424
207	46335.26266
208	46330.17795
209	46321.58573
210	46307.03187
211	46299.88204
212	46299.88153
213	46290.90182
214	46276.03751
215	46275.4011
216	46257.11042
217	46246.47352
218	46242.36271
219	46231.60042
220	46231.58146
221	46224.49329
222	46218.13355
223	46204.61528
224	46180.88125
225	46174.36771
226	46168.29847
227	46157.92427
228	46146.07604
229	46136.28993
230	46131.99983
231	46129.40494
232	46129.40436
233	46129.14112
234	46123.47728
235	46123.09087
236	46108.22541
237	46101.4137
238	46082.20129
239	46074.10824
240	46064.02582
241	46058.67954
242	46055.51466
243	46048.57994
244	46042.82374
245	46026.68935
246	46015.51285
247	45994.41695
248	45978.70479
249	45973.54117
250	45963.85854
251	45946.69111
252	45942.05062
253	45931.18714
254	45914.39397
255	45913.61537
256	45898.22754
257	45891.10614
258	45876.01456
259	45876.00526
260	45870.24136
261	45859.72938
262	45845.20402
263	45833.29335
264	45828.2388
265	45828.03885
266	45822.63812
267	45808.67751
268	45803.49367
269	45795.61856
270	45782.99012
271	45782.98985
272	45779.64225
273	45766.2468
274	45765.89546
275	45740.98162
276	45720.92264
277	45715.19025
278	45697.44782
279	45688.64308
280	45687.00472
281	45678.01743
282	45677.36867
283	45655.69588
284	45642.81165
285	45641.26109
286	45629.07539
287	45629.07528
288	45623.34695
289	45615.11378
290	45601.42432
291	45594.85566
292	45582.31251
293	45577.26704
294	45570.33383
295	45568.76347
296	45561.20896
297	45555.62994
298	45551.23776
299	45534.25731
300	45509.52874
301	45506.04848
302	45501.17333
303	45490.20352
304	45487.53922
305	45479.00802
306	45467.93695
307	45465.46401
308	45454.5111
309	45444.42197
310	45438.24803
311	45435.45695
312	45433.40107
313	45426.74824
314	45425.15967
315	45418.74425
316	45405.90027
317	45384.846
318	45371.22223
319	45360.60349
320	45355.42792
321	45347.70965
322	45347.48547
323	45338.08111
324	45329.91056
325	45322.48519
326	45308.31696
327	45305.21473
328	45282.97453
329	45279.04745
330	45253.68842
331	45248.5178
332	45235.3498
333	45231.20114
334	45224.786
335	45219.97587
336	45217.09514
337	45205.63066
338	45200.77064
339	45198.7326
340	45192.09745
341	45180.87081
342	45156.82244
343	45151.25013
344	45147.80692
345	45138.10973
346	45132.29681
347	45126.03111
348	45123.12465
349	45103.93357
350	45095.87991
351	45090.29169
352	45081.8958
353	45063.24994
354	45056.18659
355	45053.30104
356	45050.04329
357	45036.27035
358	45035.40194
359	45032.6945
360	45029.46627
361	45021.61311
362	45015.83349
363	45010.47209
364	45002.91066
365	44999.49801
366	44997.02999
367	44992.93368
368	44985.3177
369	44982.28277
370	44974.03831
371	44972.33478
372	44956.10025
373	44953.13265
374	44952.45419
375	44944.89045
376	44935.37014
377	44933.46609
378	44921.87358
379	44911.41379
380	44905.78203
381	44895.0122
382	44875.87889
383	44869.57316
384	44860.5891
385	44856.15724
386	44846.64948
387	44840.73576
388	44823.59352
389	44817.54601
390	44805.50196
391	44798.72085
392	44789.98896
393	44788.87996
394	44777.17173
